date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,daylight_duration,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_probability_max,uv_index_max,apparent_temperature_mean,pressure_msl_mean,surface_pressure_mean,visibility_mean,city
2021-12-31,27.0,22.75,25.158335,40925.535,8.599999,25.305208,48.6,19.0,0.0,7.0,27.320036,1015.9959,1014.60077,20964.166,Chennai
2022-01-01,27.9,23.9,25.78125,40936.332,0.90000004,20.88,40.32,7.0,0.0,6.5,27.931664,1014.9707,1013.58014,24140.0,Chennai
2022-01-02,27.7,23.8,25.468756,40948.06,0.0,19.681828,38.88,0.0,0.0,7.1,27.687263,1014.44995,1013.05853,24140.0,Chennai
2022-01-03,27.25,22.45,24.808334,40960.863,0.0,20.972897,40.68,0.0,0.0,7.15,26.553497,1014.9458,1013.55035,24140.0,Chennai
2022-01-04,28.0,21.55,24.710417,40974.76,0.1,14.512064,30.960001,1.0,0.0,5.6,26.731138,1014.52496,1013.1297,24140.0,Chennai
2022-01-05,28.2,21.5,24.989584,40989.715,0.1,15.575981,32.399998,1.0,0.0,6.85,27.71741,1013.63324,1012.2407,24140.0,Chennai
2022-01-06,27.3,22.15,25.089582,41005.695,2.5000002,16.62249,34.56,8.0,0.0,6.5,27.823465,1013.81665,1012.42413,24139.166,Chennai
2022-01-07,27.8,22.5,25.441664,41022.67,0.4,17.447933,35.64,3.0,0.0,7.1,28.322418,1014.2292,1012.8378,24090.0,Chennai
2022-01-08,28.1,22.3,25.274996,41040.598,0.0,12.661564,28.08,0.0,0.0,7.2,28.531082,1012.8582,1011.4681,24140.0,Chennai
2022-01-09,28.5,21.85,25.566668,41059.453,0.0,12.4811535,26.28,0.0,0.0,7.25,28.974783,1012.70416,1011.3156,24140.0,Chennai
2022-01-10,28.7,23.2,25.854166,41079.207,0.2,15.629972,32.039997,2.0,0.0,7.25,29.288141,1012.50836,1011.12115,24140.0,Chennai
2022-01-11,28.85,22.65,25.670832,41099.81,2.3,12.979984,28.8,6.0,0.0,7.3,29.506407,1011.99585,1010.60846,24140.0,Chennai
2022-01-12,28.5,23.0,25.570837,41121.242,1.3000001,13.044722,29.16,9.0,0.0,7.2,29.636599,1011.5332,1010.14606,23829.166,Chennai
2022-01-13,27.2,22.75,25.156248,41143.457,1.9,9.6932955,24.84,6.0,0.0,6.65,29.444525,1011.35016,1009.9612,24040.0,Chennai
2022-01-14,27.45,22.95,25.112501,41166.438,3.6,17.727943,35.28,12.0,0.0,6.8,28.816673,1012.3084,1010.91797,23760.834,Chennai
2022-01-15,28.0,22.15,25.26042,41190.145,1.4000001,21.203358,40.68,7.0,0.0,7.25,27.83162,1013.93756,1012.5456,23458.334,Chennai
2022-01-16,27.65,22.65,25.10417,41214.535,3.2,18.899143,37.8,11.0,0.0,6.3,27.3265,1015.62915,1014.2344,19949.166,Chennai
2022-01-17,27.1,23.1,25.162498,41239.594,0.9000001,17.974781,36.36,6.0,0.0,6.5,27.21575,1014.79175,1013.3982,23827.5,Chennai
2022-01-18,28.35,20.9,24.52083,41265.277,0.0,13.783817,29.519999,0.0,0.0,7.4,26.78765,1013.08325,1011.6892,24140.0,Chennai
2022-01-19,28.65,20.1,24.36042,41291.55,0.0,15.379206,32.399998,0.0,0.0,7.45,26.56984,1011.35004,1009.95746,24140.0,Chennai
2022-01-20,28.9,20.45,24.681252,41318.39,0.0,18.58451,37.8,0.0,0.0,7.45,27.509514,1010.8542,1009.4638,24140.0,Chennai
2022-01-21,28.9,21.9,25.368746,41345.766,0.0,18.218275,37.44,0.0,0.0,7.5,29.035643,1009.20416,1007.81934,24140.0,Chennai
2022-01-22,30.55,23.95,26.397917,41373.656,0.5,22.238562,42.839996,1.0,0.0,7.5,30.030678,1009.1458,1007.7659,24140.0,Chennai
2022-01-23,29.7,24.55,26.381248,41402.344,2.1,19.416653,39.239998,4.0,0.0,7.45,30.123741,1009.0376,1007.65765,23093.334,Chennai
2022-01-24,28.65,22.5,25.745829,41431.906,1.2,17.57744,36.0,4.0,0.0,5.45,29.514837,1009.62915,1008.2454,21911.666,Chennai
2022-01-25,28.05,22.25,25.304161,41462.29,0.1,13.276144,28.44,1.0,0.0,5.7,28.674341,1010.5708,1009.1838,23798.334,Chennai
2022-01-26,27.95,23.45,25.545832,41493.46,0.8000001,17.339897,33.839996,7.0,0.0,7.6,28.318893,1011.3166,1009.9297,20362.5,Chennai
2022-01-27,28.2,22.5,25.447916,41525.36,0.8000001,22.039528,43.199997,6.0,0.0,7.7,27.415117,1012.6917,1011.3025,20795.0,Chennai
2022-01-28,27.55,24.65,25.816664,41557.945,0.5,23.469128,44.639996,4.0,0.0,6.75,27.25683,1013.5667,1012.178,24140.0,Chennai
2022-01-29,28.6,24.15,26.11875,41591.18,0.2,16.199999,34.2,2.0,0.0,7.8,28.875975,1012.60004,1011.2139,24140.0,Chennai
2022-01-30,28.85,21.75,25.412504,41625.016,0.0,15.893093,32.399998,0.0,0.0,7.8,28.759758,1011.75415,1010.36615,24140.0,Chennai
2022-01-31,28.1,21.1,24.73542,41659.41,0.0,13.138765,29.16,0.0,0.0,7.85,27.864044,1011.2542,1009.8635,24140.0,Chennai
2022-02-01,27.85,19.45,23.860418,41694.324,0.0,12.984975,30.239998,0.0,0.0,7.9,26.656668,1012.13336,1010.7373,24140.0,Chennai
2022-02-02,28.15,20.25,24.420832,41729.707,0.0,16.08761,34.2,0.0,0.0,7.9,26.599129,1011.4917,1010.0992,24140.0,Chennai
